nama,bayam,kacang tanah goreng,cabai keriting,bawang putih,bawang merah,garam,gula merah,minyak,ayam,tomat,ikan,daging sapi
Pecel bayem makanan sehat diet,1,1,1,1,1,1,1,0,0,0,0,0
Masak mangut lele jogja,0,0,0,1,1,0,0,0,0,1,0,0
Sambal ijo teman makan mangut panggang,0,0,0,1,1,1,0,1,0,0,0,0
Swike ayam masakan jawa,0,0,0,1,0,0,0,1,0,1,0,0
Ayam kampung masak rica khas jawa tengah,0,0,0,1,1,1,0,0,0,0,0,0
Jenang krasikan makanan khas jawa tengah dwimonica,0,0,0,0,0,1,0,0,0,0,0,0
Daging sapi masak lapis,0,0,0,1,0,1,1,0,0,0,0,1
Telur petis jawa timur lauk pendamping lontong sayur,0,0,0,1,1,1,1,0,0,0,0,0
Cap jaek makanan jogja,0,0,0,1,0,0,0,0,0,0,0,0
Ikan masak kuningataugarang asem ikan khas jatim,0,0,0,1,1,1,0,0,0,0,1,0
